Experiment_ID,Model,Features,Hyperparameters,F1_macro,Accuracy,Precision_macro,Recall_macro,F1_positive,F1_negative,F1_neutral,Training_time_s,Notes
EXP_100,"5-fold stacking (3×NB+LR → meta-LR, raw)","raw tweet, char (2-5) max=80k, 5-fold CV","3×MNB + LR base, LR-C5 meta, 5-fold",0.6802,0.6792,0.6948,0.6724,0.6813,0.6892,0.67,159.3,
EXP_134,5-fold stacking (5×MNB raw → meta-LR),"raw tweet, char (2-5) max=80k, 5-fold","alphas=[0.05,0.1,0.15,0.2,0.3], meta-LR C=5",0.6767,0.6792,0.705,0.6661,0.6602,0.6884,0.6816,4.0,
EXP_113,MNB raw char(2-5) alpha=0.2,"raw tweet, char (2-5), max=80k",alpha=0.2,0.6759,0.678,0.7022,0.6661,0.6611,0.6902,0.6763,1.9,
EXP_074,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.2,0.6759,0.678,0.7022,0.6661,0.6611,0.6902,0.6763,2.0,
EXP_114,MNB raw char(2-5) alpha=0.22,"raw tweet, char (2-5), max=80k",alpha=0.22,0.6756,0.678,0.7035,0.6654,0.6592,0.6898,0.6777,1.7,
EXP_112,MNB raw char(2-5) alpha=0.18,"raw tweet, char (2-5), max=80k",alpha=0.18,0.6738,0.6756,0.6973,0.6645,0.6603,0.6891,0.672,1.8,
EXP_111,MNB raw char(2-5) alpha=0.15,"raw tweet, char (2-5), max=80k",alpha=0.15,0.6736,0.6744,0.6954,0.6645,0.6658,0.6868,0.6681,1.8,
EXP_125,"MNB light-prep alpha=0.2, char(2, 5)","light-preproc tweet, char (2, 5), max=80000",alpha=0.2,0.6735,0.675,0.698,0.664,0.6621,0.688,0.6705,1.5,Only NFC+norm+URL removal
EXP_115,MNB raw char(2-5) alpha=0.25,"raw tweet, char (2-5), max=80k",alpha=0.25,0.6735,0.6768,0.7034,0.6632,0.6527,0.6899,0.6781,1.9,
EXP_124,"MNB light-prep alpha=0.1, char(2, 5)","light-preproc tweet, char (2, 5), max=80000",alpha=0.1,0.672,0.6725,0.6909,0.6638,0.6658,0.6857,0.6647,1.7,Only NFC+norm+URL removal
EXP_133,Soft ensemble (5×MNB raw),"raw tweet, char (2-5/6), max=80-120k","5 MNB with alpha=0.1-0.2, avg proba",0.6719,0.6731,0.6961,0.6623,0.6612,0.6874,0.6672,9.5,Soft vote: average predict_proba across 5 MNB models
EXP_110,MNB raw char(2-5) alpha=0.12,"raw tweet, char (2-5), max=80k",alpha=0.12,0.6717,0.6719,0.6917,0.6631,0.6667,0.6861,0.6622,1.8,
EXP_116,MNB raw char(2-5) alpha=0.3,"raw tweet, char (2-5), max=80k",alpha=0.3,0.6708,0.675,0.7047,0.6599,0.6468,0.6849,0.6808,1.8,
EXP_127,"MNB light-prep alpha=0.2, char(2, 6)","light-preproc tweet, char (2, 6), max=100000",alpha=0.2,0.6708,0.6738,0.6963,0.6614,0.6501,0.6902,0.672,2.0,Only NFC+norm+URL removal
EXP_119,"MNB raw alpha=0.2, char(2, 6)","raw tweet, char (2, 6), max=120000",alpha=0.2,0.6703,0.6731,0.6976,0.6605,0.6509,0.688,0.672,2.2,
EXP_099,Soft-vote ensemble (NB+LR raw),"raw tweet, char (2-5) max=80k",NB alpha=0.1 + LR C=5 soft vote (avg proba),0.6702,0.6689,0.6838,0.6628,0.6736,0.681,0.6559,48.4,
EXP_076,"MNB raw char (2, 4)","raw tweet, char (2, 4), max=60000",alpha=0.1,0.6701,0.6707,0.6889,0.6616,0.6622,0.6842,0.6637,1.4,
EXP_083,MNB raw char (2-5) max=50000,"raw tweet, char (2-5), max=50000",alpha=0.1,0.6696,0.6707,0.6869,0.6618,0.6587,0.687,0.6632,1.8,
EXP_046,MultinomialNB (RAW text),"raw tweet, char TF-IDF (2, 5), max=80000",alpha=0.1,0.6693,0.6695,0.6883,0.6609,0.664,0.6845,0.6593,1.7,"Uses original tweet, not cleaned_text"
EXP_073,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.1,0.6693,0.6695,0.6883,0.6609,0.664,0.6845,0.6593,1.9,
EXP_117,"MNB raw alpha=0.2, char(2, 4)","raw tweet, char (2, 4), max=60000",alpha=0.2,0.6691,0.6713,0.6935,0.6595,0.6529,0.6838,0.6705,1.4,
EXP_081,"MNB raw char (1, 6)","raw tweet, char (1, 6), max=150000",alpha=0.1,0.6691,0.6701,0.6929,0.6596,0.6603,0.6812,0.6657,2.5,
EXP_118,"MNB raw alpha=0.2, char(2, 5)","raw tweet, char (2, 5), max=120000",alpha=0.2,0.6688,0.6707,0.7009,0.6576,0.6563,0.6786,0.6714,1.9,
EXP_123,"MNB raw alpha=0.2, char(3, 6)","raw tweet, char (3, 6), max=100000",alpha=0.2,0.6677,0.6689,0.688,0.6592,0.6576,0.6817,0.6637,1.9,
EXP_080,"MNB raw char (2, 7)","raw tweet, char (2, 7), max=150000",alpha=0.1,0.6671,0.6677,0.6885,0.6583,0.6603,0.6822,0.6588,2.9,
EXP_126,"MNB light-prep alpha=0.1, char(2, 6)","light-preproc tweet, char (2, 6), max=100000",alpha=0.1,0.6668,0.6683,0.6848,0.659,0.6542,0.6851,0.6613,1.8,Only NFC+norm+URL removal
EXP_122,"MNB raw alpha=0.2, char(2, 7)","raw tweet, char (2, 7), max=150000",alpha=0.2,0.6666,0.6713,0.7,0.6562,0.6373,0.6898,0.6728,2.3,
EXP_085,MNB raw char (2-5) max=200000,"raw tweet, char (2-5), max=200000",alpha=0.1,0.6661,0.6683,0.6934,0.656,0.65,0.6831,0.6652,1.9,
EXP_128,"MNB hybrid alpha=0.1, char(2, 5)","raw+cleaned concat, char (2, 5), max=80000",alpha=0.1,0.6661,0.6652,0.6816,0.6588,0.6667,0.6844,0.6471,2.3,raw + cleaned_text concatenated
EXP_120,"MNB raw alpha=0.2, char(1, 5)","raw tweet, char (1, 5), max=120000",alpha=0.2,0.6657,0.6707,0.7055,0.6541,0.6387,0.6787,0.6797,1.9,
EXP_077,"MNB raw char (2, 6)","raw tweet, char (2, 6), max=100000",alpha=0.1,0.6655,0.6659,0.6836,0.6575,0.6595,0.6817,0.6553,2.1,
EXP_082,MNB raw char (2-5) max=30000,"raw tweet, char (2-5), max=30000",alpha=0.1,0.6653,0.6652,0.682,0.6572,0.6631,0.673,0.6599,2.0,
EXP_078,"MNB raw char (1, 5)","raw tweet, char (1, 5), max=100000",alpha=0.1,0.6652,0.6659,0.6853,0.6566,0.6586,0.6773,0.6598,2.0,
EXP_084,MNB raw char (2-5) max=120000,"raw tweet, char (2-5), max=120000",alpha=0.1,0.665,0.6652,0.6849,0.6564,0.6604,0.6779,0.6569,2.0,
EXP_087,LR raw C=1.0 nobal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=False",0.6649,0.6671,0.6905,0.6548,0.6495,0.6762,0.669,26.6,
EXP_129,"MNB hybrid alpha=0.2, char(2, 5)","raw+cleaned concat, char (2, 5), max=80000",alpha=0.2,0.6648,0.6652,0.6858,0.656,0.6585,0.6795,0.6564,2.1,raw + cleaned_text concatenated
EXP_086,LR raw C=0.5 nobal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=False",0.6647,0.6701,0.7061,0.653,0.6421,0.6648,0.687,22.5,
EXP_089,LR raw C=1.0 bal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=True",0.663,0.6622,0.6652,0.6616,0.6675,0.6655,0.6561,22.9,
EXP_072,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.05,0.6626,0.6628,0.6797,0.6549,0.6569,0.68,0.6508,1.9,
EXP_075,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.5,0.6601,0.6677,0.711,0.6479,0.622,0.6777,0.6807,1.8,
EXP_130,"MNB hybrid alpha=0.1, char(2, 6)","raw+cleaned concat, char (2, 6), max=100000",alpha=0.1,0.66,0.6592,0.6756,0.653,0.6623,0.6754,0.6424,3.1,raw + cleaned_text concatenated
EXP_121,"MNB raw alpha=0.2, char(1, 6)","raw tweet, char (1, 6), max=150000",alpha=0.2,0.6598,0.6671,0.7017,0.6489,0.6199,0.6832,0.6764,2.3,
EXP_088,LR raw C=5.0 nobal,"raw tweet, char (2-5), max=80k","C=5.0, balanced=False",0.6598,0.658,0.6712,0.6531,0.6684,0.6643,0.6466,38.8,
EXP_045,ComplementNB (RAW text),"raw tweet, char TF-IDF (2, 5), max=80000",alpha=0.1,0.6595,0.6586,0.6625,0.6585,0.6642,0.681,0.6334,1.7,"Uses original tweet, not cleaned_text"
EXP_097,"MNB raw word(1, 3)+char(2, 6)","raw tweet, word (1, 3)+char (2, 6)",alpha=0.1,0.6588,0.6586,0.6723,0.6526,0.6562,0.6804,0.6399,2.7,
EXP_095,SVM raw C=0.5 bal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=True",0.6579,0.6555,0.6603,0.6559,0.6707,0.6678,0.6353,2.2,
EXP_047,ComplementNB (RAW text),"raw tweet, char TF-IDF (2, 6), max=100000",alpha=0.1,0.6576,0.6567,0.661,0.6564,0.6618,0.6793,0.6318,2.0,"Uses original tweet, not cleaned_text"
EXP_079,"MNB raw char (3, 6)","raw tweet, char (3, 6), max=100000",alpha=0.1,0.6573,0.6574,0.6715,0.6508,0.6535,0.676,0.6425,1.8,
EXP_090,LR raw C=5.0 bal,"raw tweet, char (2-5), max=80k","C=5.0, balanced=True",0.6564,0.6537,0.6578,0.6551,0.6722,0.6649,0.632,47.6,
EXP_098,Hard-vote ensemble (NB+LR+SVM raw),"raw tweet, char (2-5) max=80k",NB alpha=0.1 + LR C=5 + SVM C=1 hard vote,0.6536,0.6525,0.6628,0.6479,0.6557,0.6649,0.6401,43.9,
EXP_091,SVM raw C=0.5 nobal,"raw tweet, char (2-5), max=80k","C=0.5, balanced=False",0.6516,0.6507,0.6627,0.6452,0.653,0.6626,0.6393,2.2,
EXP_071,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.01,0.6511,0.6519,0.67,0.643,0.6415,0.6711,0.6406,1.8,
EXP_096,"MNB raw word(1, 2)+char(2, 5)","raw tweet, word (1, 2)+char (2, 5)",alpha=0.1,0.6506,0.6495,0.6629,0.6449,0.6545,0.6705,0.6269,2.2,
EXP_057,Stacking 5-fold CV (NB+CNB×2+LR → meta-LR),"char TF-IDF (2-5), 5-fold CV meta-features","4 base models, 5-fold CV, C=5 meta-LR",0.6491,0.6464,0.6621,0.6419,0.6633,0.65,0.6341,160.3,Proper CV-based stacking
EXP_094,SVM raw C=1.0 bal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=True",0.6477,0.6452,0.6489,0.6466,0.6611,0.6615,0.6205,2.2,
EXP_044,MultinomialNB,"char TF-IDF (2, 6), max=100000",alpha=0.1,0.6449,0.6428,0.6561,0.639,0.6546,0.6589,0.6211,1.7,
EXP_092,SVM raw C=1.0 nobal,"raw tweet, char (2-5), max=80k","C=1.0, balanced=False",0.6443,0.6434,0.6504,0.6402,0.6451,0.6603,0.6276,2.3,
EXP_070,MNB raw (2-5),"raw tweet, char (2-5), max=80k",alpha=0.001,0.6435,0.6446,0.6681,0.6341,0.6326,0.6622,0.6356,1.8,
EXP_041,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.5,0.6432,0.6422,0.6709,0.6322,0.6473,0.6467,0.6358,1.4,
EXP_132,"MNB emoji-enhanced alpha=0.2, char(2, 5)","cleaned_text + emoji tokens, char (2, 5), max=80000",alpha=0.2,0.6428,0.6409,0.6614,0.6341,0.6506,0.6509,0.6269,1.6,cleaned_text with emoji appended as tokens
EXP_035,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=1.0,0.6425,0.6391,0.6475,0.6392,0.6642,0.6471,0.6162,1.5,
EXP_002,Naive Bayes (char),"char TF-IDF (2-5), max=50k",alpha=0.1,0.6421,0.0,0.0,0.0,0.662,0.651,0.613,1.4,Runner1-ML-phase
EXP_056,Stacking (NB+CNB+LR → meta-LR),"char+combined TF-IDF, val-set meta-train",4 base models → LR meta-learner,0.6418,0.6373,0.6506,0.636,0.6675,0.6447,0.6132,22.4,Meta-learner trained on val set predictions
EXP_131,"MNB emoji-enhanced alpha=0.1, char(2, 5)","cleaned_text + emoji tokens, char (2, 5), max=80000",alpha=0.1,0.6405,0.6379,0.6524,0.6342,0.6537,0.6516,0.6163,1.4,cleaned_text with emoji appended as tokens
EXP_034,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.5,0.64,0.6361,0.6405,0.6403,0.669,0.6505,0.6003,1.5,
EXP_040,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.05,0.6396,0.6355,0.6509,0.6332,0.6632,0.6444,0.6111,1.4,
EXP_043,MultinomialNB,"char TF-IDF (2, 5), max=100000",alpha=0.1,0.637,0.6343,0.6502,0.63,0.6501,0.6476,0.6133,1.5,
EXP_093,SVM raw C=2.0 nobal,"raw tweet, char (2-5), max=80k","C=2.0, balanced=False",0.6345,0.6324,0.638,0.6318,0.6455,0.6443,0.6137,2.7,
EXP_039,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=0.01,0.6341,0.6306,0.6492,0.6264,0.6526,0.6398,0.61,1.4,
EXP_037,ComplementNB,"char TF-IDF (2, 4), max=40000",alpha=0.1,0.6323,0.6276,0.6308,0.6349,0.6713,0.6437,0.5818,1.0,
EXP_054,MultinomialNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.1,0.631,0.627,0.6368,0.6273,0.6559,0.6398,0.5974,1.9,
EXP_031,ComplementNB,"char TF-IDF (2, 6), max=60000",alpha=0.1,0.6309,0.627,0.6303,0.6331,0.6635,0.6456,0.5837,1.6,
EXP_012,LR C=0.5 wide balanced,word (1-3)+char (2-6),"C=0.5, balanced",0.6292,0.0,0.0,0.0,0.673,0.623,0.591,4.8,Runner1-ML-phase
EXP_011,LR C=0.1 wide balanced,word (1-3)+char (2-6),"C=0.1, balanced",0.6279,0.0,0.0,0.0,0.66,0.628,0.596,2.9,Runner1-ML-phase
EXP_004,"Logistic Regression (char, balanced)","char TF-IDF (2-5), max=50k","C=1.0, balanced",0.6279,0.0,0.0,0.0,0.665,0.626,0.593,7.1,Runner1-ML-phase
EXP_036,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.05,0.6277,0.6239,0.6275,0.6292,0.658,0.64,0.5852,1.4,
EXP_030,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.1,0.6275,0.6233,0.6273,0.6292,0.662,0.639,0.5816,1.4,
EXP_042,MultinomialNB,"char TF-IDF (2, 5), max=50000",alpha=1.0,0.6267,0.63,0.6768,0.6133,0.6136,0.6268,0.6399,1.4,
EXP_007,LR word+char balanced,word (1-2)+char (2-5) TF-IDF,"C=1.0, balanced",0.626,0.0,0.0,0.0,0.674,0.616,0.588,6.0,Runner1-ML-phase
EXP_009,LR wide n-grams balanced,word (1-3)+char (2-6) TF-IDF,"C=2.0, balanced",0.6257,0.0,0.0,0.0,0.671,0.616,0.591,6.0,Runner1-ML-phase
EXP_048,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercep",0.6252,0.6215,0.6448,0.6156,0.6471,0.6167,0.6117,14.5,
EXP_033,ComplementNB,"char TF-IDF (2, 5), max=50000",alpha=0.01,0.6251,0.6215,0.625,0.6262,0.6525,0.6405,0.5824,1.4,
EXP_055,ComplementNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.01,0.6223,0.6185,0.6214,0.6242,0.6518,0.6421,0.5728,1.9,
EXP_053,ComplementNB combined (word+char),word (1-2)+char (2-5) TF-IDF,alpha=0.1,0.6206,0.6166,0.6196,0.6235,0.655,0.6363,0.5705,1.8,
EXP_038,ComplementNB,"char TF-IDF (3, 5), max=50000",alpha=0.1,0.6197,0.616,0.6181,0.6232,0.652,0.6389,0.5682,1.1,
EXP_032,ComplementNB,"char TF-IDF (3, 6), max=60000",alpha=0.1,0.6171,0.6136,0.6153,0.6208,0.6483,0.6321,0.571,1.4,
EXP_013,LR C=5.0 wide balanced,word (1-3)+char (2-6),"C=5.0, balanced",0.617,0.0,0.0,0.0,0.664,0.606,0.581,9.7,Runner1-ML-phase
EXP_052,"LinearSVC (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 0.5, 'class_weight': None, 'dual': 'auto', 'fit_interce",0.6155,0.61,0.6237,0.6099,0.6516,0.6079,0.587,1.8,
EXP_015,SVM C=0.5 wide balanced,word (1-3)+char (2-6),"C=0.5, balanced",0.6146,0.0,0.0,0.0,0.657,0.605,0.582,2.8,Runner1-ML-phase
EXP_049,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 5.0, 'class_weight': None, 'dual': False, 'fit_intercep",0.6135,0.6075,0.6212,0.6081,0.6533,0.6024,0.5846,12.7,
EXP_006,"SVM (char, balanced)","char TF-IDF (2-5), max=50k","C=1.0, balanced",0.6123,0.0,0.0,0.0,0.664,0.606,0.567,1.9,Runner1-ML-phase
EXP_020,LightGBM n=300,word (1-2)+char (2-5) TF-IDF,"n_estimators=300, lr=0.05, num_leaves=63",0.612,0.0,0.0,0.0,0.642,0.608,0.586,76.7,Runner1-ML-phase
EXP_001,Naive Bayes,"word TF-IDF (1-2), max=10k",alpha=1.0,0.6116,0.0,0.0,0.0,0.615,0.614,0.606,0.3,Runner1-ML-phase
EXP_021,LightGBM n=500,word (1-2)+char (2-5) TF-IDF,"n_estimators=500, lr=0.03, num_leaves=127",0.611,0.0,0.0,0.0,0.636,0.606,0.592,245.7,Runner1-ML-phase
EXP_050,"LogisticRegression (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 10.0, 'class_weight': None, 'dual': False, 'fit_interce",0.6099,0.6045,0.6171,0.6048,0.645,0.6038,0.5808,28.6,
EXP_014,LR C=10 wide balanced,word (1-3)+char (2-6),"C=10, balanced",0.6098,0.0,0.0,0.0,0.656,0.601,0.573,8.2,Runner1-ML-phase
EXP_018,XGBoost n=200,word (1-2)+char (2-5) TF-IDF,"n_estimators=200, lr=0.1, max_depth=6",0.6083,0.0,0.0,0.0,0.638,0.587,0.6,87.8,Runner1-ML-phase
EXP_051,"LinearSVC (no balanced, char (2-5))","char TF-IDF (2-5) only, max=50k","'C': 1.0, 'class_weight': None, 'dual': 'auto', 'fit_interce",0.6083,0.6027,0.6133,0.6045,0.6453,0.6062,0.5734,2.1,
EXP_008,SVM word+char balanced,word (1-2)+char (2-5) TF-IDF,"C=1.0, balanced",0.6039,0.0,0.0,0.0,0.647,0.6,0.564,2.4,Runner1-ML-phase
EXP_010,SVM wide n-grams balanced,word (1-3)+char (2-6) TF-IDF,"C=2.0, balanced",0.602,0.0,0.0,0.0,0.639,0.603,0.564,3.3,Runner1-ML-phase
EXP_016,SVM C=2.0 wide balanced,word (1-3)+char (2-6),"C=2.0, balanced",0.602,0.0,0.0,0.0,0.639,0.603,0.564,3.3,Runner1-ML-phase
EXP_003,"Logistic Regression (word, balanced)","word TF-IDF (1-2), max=20k","C=1.0, balanced",0.6014,0.0,0.0,0.0,0.636,0.596,0.571,3.6,Runner1-ML-phase
EXP_019,XGBoost n=300,word (1-2)+char (2-5) TF-IDF,"n_estimators=300, lr=0.05, max_depth=8",0.6009,0.0,0.0,0.0,0.628,0.582,0.593,201.0,Runner1-ML-phase
EXP_005,"SVM (word, balanced)","word TF-IDF (1-2), max=20k","C=1.0, balanced",0.5941,0.0,0.0,0.0,0.635,0.584,0.563,0.4,Runner1-ML-phase
EXP_058,"LR-L1 (saga, C=1.0, balanced, char)","char TF-IDF (2-5), max=50k","C=1.0, L1, saga, balanced",0.5927,0.5893,0.5898,0.5969,0.6272,0.5805,0.5703,24.5,
EXP_059,"LR-L1 (saga, C=5.0, balanced, char)","char TF-IDF (2-5), max=50k","C=5.0, L1, saga, balanced",0.5923,0.5869,0.5907,0.5943,0.6366,0.5957,0.5447,187.9,
EXP_017,SVM C=5.0 wide balanced,word (1-3)+char (2-6),"C=5.0, balanced",0.5876,0.0,0.0,0.0,0.619,0.588,0.555,4.5,Runner1-ML-phase
