tweet,label_str,label,source,tokens,cleaned_text
" ""የነዳጅ ዋጋ መናር በትራንስፖርት ዘርፉ ላይ አለመረጋጋት ፈጥሯል።""",negative,1,policy,"['የነዳጅ', 'ዋጋ', 'መናር', 'በትራንስፖርት', 'ዘርፉ', 'አለመረጋጋት', 'ፈጥሯል።']",የነዳጅ ዋጋ መናር በትራንስፖርት ዘርፉ አለመረጋጋት ፈጥሯል።
'የበረራ እቅድ አላ ምድንወ ጥስው ርብቃመበ እንዴ በእርግጠኝነት ምረበነልአ ምንማ ልሚየ ኩርበነ ንማ ኔእ',neutral,2,afrisenti,"['የበረራ', 'እቅድ', 'አላ', 'ምድንወ', 'ጥስው', 'ርብቃመበ', 'እንዴ', 'በእርግጠኝነት', 'ምረበነልአ', 'ምንማ', 'ልሚየ', 'ኩርበነ', 'ንማ', 'ኔእ']",የበረራ እቅድ አላ ምድንወ ጥስው ርብቃመበ እንዴ በእርግጠኝነት ምረበነልአ ምንማ ልሚየ ኩርበነ ንማ ኔእ
ለፕ/ር  መራራ ጉዲና ከፍተኛ ክብርና  አድናቆት አለኝ ። እኒህ በኢትዮጵያ አጭር ታሪክ ብዙ ውጣ ውረድን ያሳለፍ  የተማሩና ያስተማሩ ውድ የኢትዮጵያ ቅርስ ናቸ…,positive,0,afrisenti,"['ለፕ', 'ር', 'መራራ', 'ጉዲና', 'ከፍተኛ', 'ክብርና', 'አድናቆት', 'አለኝ', '።', 'እኒህ', 'በኢትዮጵያ', 'አጭር', 'ታሪክ', 'ብዙ', 'ውጣ', 'ውረድን', 'ያሳለፍ', 'የተማሩና', 'ያስተማሩ', 'ውድ', 'የኢትዮጵያ', 'ቅርስ', 'ናቸ']",ለፕ ር መራራ ጉዲና ከፍተኛ ክብርና አድናቆት አለኝ ። እኒህ በኢትዮጵያ አጭር ታሪክ ብዙ ውጣ ውረድን ያሳለፍ የተማሩና ያስተማሩ ውድ የኢትዮጵያ ቅርስ ናቸ
" ""የባንክ ብድር ወለድ መጨመር ለጀማሪ ስራ ፈጣሪዎች ትልቅ ራስ ምታት ነው።""",negative,1,policy,"['የባንክ', 'ብድር', 'ወለድ', 'መጨመር', 'ለጀማሪ', 'ስራ', 'ፈጣሪዎች', 'ትልቅ', 'ራስ', 'ምታት']",የባንክ ብድር ወለድ መጨመር ለጀማሪ ስራ ፈጣሪዎች ትልቅ ራስ ምታት
አዳዲስ ግምገማዎች አሁን እንደ கூட்டணி  የትየሌሌ እናም ግምገማዎች ላይ,neutral,2,afrisenti,"['አዳዲስ', 'ግምገማዎች', 'க', 'ட', 'டண', 'የትየሌሌ', 'እናም', 'ግምገማዎች']",አዳዲስ ግምገማዎች க ட டண የትየሌሌ እናም ግምገማዎች
... ወዳጅ ማለት አብሮ፣ ሲባክን ነው እንጅ እንዳይን፣ እንደ ጆሮ፣ እንደ እግር፣ እንደ እጅ  ቀኝ ጌታ ዮፍታሄ ንጉሴ,positive,0,afrisenti,"['ወዳጅ', 'ማለት', 'አብሮ፣', 'ሲባክን', 'እንጅ', 'እንዳይን፣', 'ጆሮ፣', 'እግር፣', 'እጅ', 'ቀኝ', 'ጌታ', 'ዮፍታሄ', 'ንጉሴ']",ወዳጅ ማለት አብሮ፣ ሲባክን እንጅ እንዳይን፣ ጆሮ፣ እግር፣ እጅ ቀኝ ጌታ ዮፍታሄ ንጉሴ
ከወሎ ዩኒቨርስቲ ተማሪ ሞት ጋር በተያያዘ አንድ ተጠርጣሪ በቁጥጥር ስር ውሏል,neutral,2,afrisenti,"['ከወሎ', 'ዩኒቨርስቲ', 'ተማሪ', 'ሞት', 'በተያያዘ', 'ተጠርጣሪ', 'በቁጥጥር', 'ስር', 'ውሏል']",ከወሎ ዩኒቨርስቲ ተማሪ ሞት በተያያዘ ተጠርጣሪ በቁጥጥር ስር ውሏል
ልክ ነህ! ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ፡፡  ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል፣ በኢትቪ ነበር ቀርፀው፣ ዶክሞንተሪ የሚሰርቡህ፡፡,neutral,2,afrisenti,"['ልክ', 'ነህ', 'ከምትላቸው', 'ቃላት', 'ያንተ', 'ቅንነት', 'ለመገመት', 'ችያለሁ፡፡', 'ቅንማ', 'ባትሆን', 'ኪራይ', 'ሰብሳቢነኝ', 'ስትል፣', 'በኢትቪ', 'ቀርጸው፣', 'ዶክሞንተሪ', 'የሚሰርቡህ፡፡']",ልክ ነህ ከምትላቸው ቃላት ያንተ ቅንነት ለመገመት ችያለሁ፡፡ ቅንማ ባትሆን ኪራይ ሰብሳቢነኝ ስትል፣ በኢትቪ ቀርጸው፣ ዶክሞንተሪ የሚሰርቡህ፡፡
ዋልተር ሲ ፕላውደን፣ የመጀመሪያ እንግሊዝ ቆንሶል የጎንዳር ነጋድራሶች (ጉምሩክ) በ ጎንደር፣ ያጁቤ፣ ዳሪታ፣ ሳቆጣ፣ ዳባርቅ፣ አድቃ እንደነበር ይናገራል,neutral,2,afrisenti,"['ዋልተር', 'ሲ', 'ፕላውደን፣', 'የመጀመሪያ', 'እንግሊዝ', 'ቆንሶል', 'የጎንዳር', 'ነጋድራሶች', 'ጉምሩክ', 'ጎንደር፣', 'ያጁቤ፣', 'ዳሪታ፣', 'ሳቆጣ፣', 'ዳባርቅ፣', 'አድቃ', 'እንደነበር', 'ይናገራል']",ዋልተር ሲ ፕላውደን፣ የመጀመሪያ እንግሊዝ ቆንሶል የጎንዳር ነጋድራሶች ጉምሩክ ጎንደር፣ ያጁቤ፣ ዳሪታ፣ ሳቆጣ፣ ዳባርቅ፣ አድቃ እንደነበር ይናገራል
ጥያቄ የለውም በጣም ምርጥ ስራ ነው።,positive,0,afrisenti,"['ጥያቄ', 'የለውም', 'በጣም', 'ምርጥ', 'ስራ']",ጥያቄ የለውም በጣም ምርጥ ስራ
