tweet,label_str,label,source,tokens,cleaned_text
Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ,negative,1,afrisenti,"['Tesfaye', 'ለካስ', 'ጭብል', 'ለብሰሽ', 'የፕሮፌሰርን', 'ፎቶ', 'ለጥፈክ', 'እልም', 'ያልክ', 'ባዳ', 'ነክ', 'እፈር', 'ትንሽ']",Tesfaye ለካስ ጭብል ለብሰሽ የፕሮፌሰርን ፎቶ ለጥፈክ እልም ያልክ ባዳ ነክ እፈር ትንሽ
ይሄው ነው አይደል የእውቀትሽ ጥግ....በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም....ደሞ ራስሽን አታስገምቺ,negative,1,afrisenti,"['ይሄው', 'አይደል', 'የእውቀትሽ', 'ጥግ', 'በሰሚ', 'ሰሚ', 'ከምትናገሪ', 'ለምን', 'ታሪክ', 'አታነቢም', 'ደሞ', 'ራስሽን', 'አታስገምቺ']",ይሄው አይደል የእውቀትሽ ጥግ በሰሚ ሰሚ ከምትናገሪ ለምን ታሪክ አታነቢም ደሞ ራስሽን አታስገምቺ
ዘገበ ይባላል? ሌላ የሚባል ነገር ካለ አንተዉ ንገረን!,negative,1,afrisenti,"['ዘገበ', 'ይባላል', 'ሌላ', 'የሚባል', 'ነገር', 'ካለ', 'አንተዉ', 'ንገረን']",ዘገበ ይባላል ሌላ የሚባል ነገር ካለ አንተዉ ንገረን
?? ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ???? ምን ሆኖ ነው ግን? ከሗላ ያለው ቴዲ ሁሉ ፊቱን አዞረ እኮ ??,negative,1,afrisenti,"['ድሮ', 'በዘመነ', 'ኮዳክ', 'ፎቶ', 'ቤት', 'ፍላሹ', 'ፏ', 'ሲል', 'አይናችን', 'ተጨፍኖ', 'እንዳይወጣ', 'የምንቸክለውን', 'ነገር', 'አስታወሰኝ', 'ምን', 'ከሗላ', 'ያለው', 'ቴዲ', 'ፊቱን', 'አዞረ', 'እኮ']",ድሮ በዘመነ ኮዳክ ፎቶ ቤት ፍላሹ ፏ ሲል አይናችን ተጨፍኖ እንዳይወጣ የምንቸክለውን ነገር አስታወሰኝ ምን ከሗላ ያለው ቴዲ ፊቱን አዞረ እኮ
ዠልጥ?? ???? ገገማ,negative,1,afrisenti,"['ዠልጥ', 'ገገማ']",ዠልጥ ገገማ
ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ,negative,1,afrisenti,"['ለመጥለቅ', 'ያህል', 'ወሳኝ', 'ነገር', 'ያስፈልጋል', 'ልያታይ', 'ጥስው', 'ዶረበ', 'ጽርቅ', 'ድንአ', 'ምንም', 'ሳይነሱ', 'ሉቃብጠይ', 'ንዱንአ', 'ንችታለሁከ', 'ይአ']",ለመጥለቅ ያህል ወሳኝ ነገር ያስፈልጋል ልያታይ ጥስው ዶረበ ጽርቅ ድንአ ምንም ሳይነሱ ሉቃብጠይ ንዱንአ ንችታለሁከ ይአ
የነዚህን አይነት ወሬ አራጋቢ ነው!  Do you get me!!?,negative,1,afrisenti,"['የነዚህን', 'አይነት', 'ወሬ', 'አራጋቢ', 'Do', 'you', 'get', 'me']",የነዚህን አይነት ወሬ አራጋቢ Do you get me
ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ…,negative,1,afrisenti,"['ያንተ', 'የበታችነት', 'ስሜት', 'ነው፣', 'ማንም', 'አክራሪ', 'ሰክሮ', 'እየመጣ', 'መስጂድህን', 'ሲያቃጥልብህ፣', 'እኛ', 'ብንናገር', 'አንተ', 'መልሰህ', 'እኛን', 'ምን', 'አገባቹ', 'ትላለህ።ያንተን', 'አይነት', 'አለቅላ']",ያንተ የበታችነት ስሜት ነው፣ ማንም አክራሪ ሰክሮ እየመጣ መስጂድህን ሲያቃጥልብህ፣ እኛ ብንናገር አንተ መልሰህ እኛን ምን አገባቹ ትላለህ።ያንተን አይነት አለቅላ
አብይ እራሡ ጀዋርን እንደ መጠቀሚያ አርጎታል ለዚህ ሁሉ ተጠያቂዉ አብይ ነዉ,negative,1,afrisenti,"['አብይ', 'እራሡ', 'ጀዋርን', 'መጠቀሚያ', 'አርጎታል', 'ለዚህ', 'ተጠያቂዉ', 'አብይ', 'ነዉ']",አብይ እራሡ ጀዋርን መጠቀሚያ አርጎታል ለዚህ ተጠያቂዉ አብይ ነዉ
። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ,negative,1,afrisenti,"['።', 'ጥንብ', 'ዘረኛ', 'ጥፋ', 'ከዚህ', 'መርዝ']",። ጥንብ ዘረኛ ጥፋ ከዚህ መርዝ
